% 1. Title: gcc output parameters
%
% 2. Sources: gem5 runs
@RELATION trainingSet

@ATTRIBUTE issueWidth	{1, 2, 4, 8}
@ATTRIBUTE l2Size	{64, 256, 1024}
@ATTRIBUTE l1Size	{16, 32, 64}
@ATTRIBUTE l1Assoc	{2, 4}
@ATTRIBUTE reorderBuffer	{0, 64, 128, 200}
@ATTRIBUTE intAlus	{1, 3, 6}
@ATTRIBUTE intMuls	{1, 2}
@ATTRIBUTE fp	{0, 1, 2}
@ATTRIBUTE executionModel	{0, 1}
@ATTRIBUTE performance	NUMERIC
@ATTRIBUTE intAccessR	NUMERIC
@ATTRIBUTE FPAccessR	NUMERIC
@ATTRIBUTE BranchAccessR	NUMERIC
@ATTRIBUTE DataAccessR	NUMERIC
@ATTRIBUTE DataFPKB	NUMERIC
@ATTRIBUTE InstFPKB	NUMERIC
@ATTRIBUTE OperandAvg	NUMERIC
@ATTRIBUTE RegPC	NUMERIC
@ATTRIBUTE DataReuseAvg	NUMERIC
@ATTRIBUTE 32InstReuse	NUMERIC
@ATTRIBUTE LargeReuse   NUMERIC

@DATA
4,256,32,2,200,3,1,0,0,0.9989,0.6649,0.0006,0.226,0.4072,15.7106,0.1713,1.6617,3.5357,4.2411,0.7891,0.0095
4,256,32,2,200,3,2,1,0,1.0011,0.6649,0.0006,0.226,0.4072,15.7106,0.1713,1.6617,3.5357,4.2411,0.7891,0.0095
4,256,32,2,64,6,1,1,0,0.998,0.6649,0.0006,0.226,0.4072,15.7106,0.1713,1.6617,3.5357,4.2411,0.7891,0.0095
4,256,32,2,64,3,1,1,0,0.994,0.6649,0.0006,0.226,0.4072,15.7106,0.1713,1.6617,3.5357,4.2411,0.7891,0.0095
4,256,32,2,200,3,1,1,0,1.001,0.6649,0.0006,0.226,0.4072,15.7106,0.1713,1.6617,3.5357,4.2411,0.7891,0.0095
4,256,64,4,128,3,1,1,0,1.164,0.6649,0.0006,0.226,0.4072,15.7106,0.1713,1.6617,3.5357,4.2411,0.7891,0.0095
4,256,16,2,128,3,1,1,0,0.88,0.6649,0.0006,0.226,0.4072,15.7106,0.1713,1.6617,3.5357,4.2411,0.7891,0.0095
4,256,32,2,128,6,1,1,0,1.0042,0.6649,0.0006,0.226,0.4072,15.7106,0.1713,1.6617,3.5357,4.2411,0.7891,0.0095
4,256,32,2,128,3,1,2,0,1.0001,0.6649,0.0006,0.226,0.4072,15.7106,0.1713,1.6617,3.5357,4.2411,0.7891,0.0095
4,256,32,2,128,3,2,1,0,1,0.6649,0.0006,0.226,0.4072,15.7106,0.1713,1.6617,3.5357,4.2411,0.7891,0.0095
4,256,32,2,128,3,2,0,0,0.99950,0.6649,0.0006,0.226,0.4072,15.7106,0.1713,1.6617,3.5357,4.2411,0.7891,0.0095
8,256,32,2,200,3,1,1,0,1.1127,0.6649,0.0006,0.226,0.4072,15.7106,0.1713,1.6617,3.5357,4.2411,0.7891,0.0095
8,256,32,2,64,3,1,1,0,1.0984,0.6649,0.0006,0.226,0.4072,15.7106,0.1713,1.6617,3.5357,4.2411,0.7891,0.0095
8,256,16,2,128,3,1,1,0,0.9706,0.6649,0.0006,0.226,0.4072,15.7106,0.1713,1.6617,3.5357,4.2411,0.7891,0.0095
8,256,64,4,200,3,1,1,0,1.2965,0.6649,0.0006,0.226,0.4072,15.7106,0.1713,1.6617,3.5357,4.2411,0.7891,0.0095
8,256,32,2,128,3,1,2,0,1.1083,0.6649,0.0006,0.226,0.4072,15.7106,0.1713,1.6617,3.5357,4.2411,0.7891,0.0095
8,256,32,2,128,3,2,1,0,1.1087,0.6649,0.0006,0.226,0.4072,15.7106,0.1713,1.6617,3.5357,4.2411,0.7891,0.0095
8,256,32,2,128,6,1,1,0,1.1494,0.6649,0.0006,0.226,0.4072,15.7106,0.1713,1.6617,3.5357,4.2411,0.7891,0.0095
8,256,32,2,128,3,1,0,0,1.109,0.6649,0.0006,0.226,0.4072,15.7106,0.1713,1.6617,3.5357,4.2411,0.7891,0.0095
8,256,32,2,128,3,1,1,0,1.1087,0.6649,0.0006,0.226,0.4072,15.7106,0.1713,1.6617,3.5357,4.2411,0.7891,0.0095
8,64,32,2,128,3,1,1,0,0.7576,0.6649,0.0006,0.226,0.4072,15.7106,0.1713,1.6617,3.5357,4.2411,0.7891,0.0095
8,1024,32,2,128,3,1,1,0,1.177,0.6649,0.0006,0.226,0.4072,15.7106,0.1713,1.6617,3.5357,4.2411,0.7891,0.0095
8,256,32,2,200,6,1,1,0,1.1533,0.6649,0.0006,0.226,0.4072,15.7106,0.1713,1.6617,3.5357,4.2411,0.7891,0.0095
